paragraph,label
"A fogyasztónak minősülő vásárló, az áru átvételét követő 14 napon belül, indoklás nélkül elállhat a vásárlástól. Megrendelő elállási jogát a szerződés megkötésének napja és a termék átvételének napja közötti időszakban is gyakorolhatja. Az elállási határidő a) egy termék vásárlása esetén azon a napon kezdődik, amikor a Megrendelő vagy az általa megjelölt személy a megrendelt terméket átveszi; b) több termék vásárlása esetén – ha az egyes termékek szolgáltatása eltérő időpontban történik – azon a napon kezdődik, amikor a Megrendelő vagy az általa megjelölt személy az utolsó terméket átveszi; c) több tételből vagy darabból álló termék vásárlása esetén azon a napon kezdődik, amikor Megrendelő vagy az általa megjelölt személy a megrendelt termék utolsó tételét vagy darabját átveszi. Megrendelő elállási jogát a Szolgáltatónak küldött írásbeli nyilatkozattal gyakorolhatja, melyet a Szolgáltató jelen ÁSZF 1. pontjában szereplő elérhetőségeinek egyikére kell elküldeni. Megrendelő elállási jogát határidőben gyakorolja, ha erre vonatkozó nyilatkozatát a 14 napos határidő lejárta előtt elküldi. A Szolgáltató elkészítette és a jelen ÁSZF végén található 1. sz. mellékletben közzétette azt a nyilatkozat mintát, melyet a Megrendelő szintén használat elállási jogának gyakorlására. A terméket eredeti, sértetlen állapotban kell a számlával együtt visszajuttatnia a Szolgáltatónak. Megrendelő a terméket haladéktalanul, de legkésőbb az elállás közlésétől számított 14 napon belül köteles visszaküldeni (postai úton vagy futárszolgálattal), illetőleg a Szolgáltató részére a személyes átvétel helyszínén átadni. A visszaküldést határidőben teljesíti a Megrendelő, ha a terméket a határidő lejárta előtt elküldi. Utánvétes csomagként visszaküldött termékek átvételét a Szolgáltatónak nem áll módjában biztosítani. A Bike Cafe Kft. kizárólag sérülésmentes, hiánytalan tartalmú termék visszaszolgáltatása esetén köteles a teljes vételárat megtéríteni. Szolgáltató jogosult Megrendelőtől a termék jellegének, tulajdonságainak és működésének megállapításához szükséges használatot meghaladó használatból eredő értékcsökkenés megtérítését követelni. Az elállási jog gyakorlása semmilyen többletköltséget nem jelent a vásárló számára, a termék visszajuttatásáról és a visszajuttatás költségeinek viseléséről azonban a Megrendelőnek kell gondoskodnia. Ha a Megrendelő a vásárlástól eláll, úgy a Szolgáltató haladéktalanul, de legkésőbb az erről való tudomásszerzéstől számított 14 napon belül visszatéríti a Megrendelő által ellenszolgáltatásként megfizetett teljes összeget, ideértve a teljesítéssel összefüggésben felmerült költségeket. Ha a Megrendelő kifejezetten a legkevésbé költséges szokásos fuvarozási módtól eltérő fuvarozási módot választ, Szolgáltató nem köteles visszatéríteni az ebből eredő többletköltségeket.",2
"c. Az Alza bemutatótermeiben személyesen (Budapest XIII. kerület Róbert Károly krt. 54 -58; 1085 Budapest József krt. 14, 1117 Budapest Fehérvári út 23., vagy 2310 Szigetszentmiklós Bevásárló utca 1,). Boltjainkról itt adunk bővebb tájékoztatást .",4
"• A Szolgáltató jogosult az előzetesen lefoglalt vizit időpontját megelőzően (az eredeti foglalás szerinti szakemberhez, vagy a szakterületnek megfelelő szakemberhez) új, az eredeti időponthoz képest 30 napon belüli időpontot javasolni a Páciensnek.",4
"d) A határozatlan időre szóló Előfizetői szerződés szerinti Szolgáltatásra vonatkozó díjak és az eseti igénybevétel vagy külön igény alapján kiszámlázható díjtételek, valamint a számlák nem fizetésével összefüggésben alkalmazott díjtételek a 3/a-3/d. sz. mellékletekben találhatók meg.",2
"Ha az utas menetjegye érvénytelen, a vasúti társaság az új menetjegyet a Menetdíjtáblázatban meghirdetett pótdíj felszámításával adja ki. Ha a menetjegy időbeli érvénytartama két állomás között (menetközben) jár le, a továbbutazáshoz az új menetjegyet attól a vasútállomástól kell számítani, amelyen a vonat a menetjegy érvényességének lejárta előtt menetrend szerint utoljára megállt.",2
"32. A szállítási mód kiválasztását követően a Fogyasztó válaszhat az Alza által felkínált fizetési módok közül, illetve tájékoztatás kap az egyes fizetési módokhoz tartozó költségekről is. A fizetési módok lényeges feltételeiről részletes tájékoztatás az alábbi dedikált aloldalon található: Fizetési Feltételek",3
"3/4. A Felhasználó, mint eladó az általa feltöltött Termék ellenértékeként az aukciós, vagy fix áras értékesítés során nyertes ajánlatnak számító leütési árat számíthatja fel, kivéve azon tranzakciókat, amelyek esetén nem elérhető az Online fizetés és az Eladó és a Vevő utóbb eltérő árban állapodnak meg.",3
"52. A Felbontott termékek olyan termékek, melyek eredeti csomagolását korábban már felbontották vagy a terméket már kipróbálták (például elállás miatt visszaküldték az Alzának). A felbontott termékeket az Alza eredeti csomagolásba visszacsomagolja, és az összes tartozékával együtt értékesíti. A felbontott termék jótállási- és szavatossági ideje megegyezik az új termékekre vonatkozó határidőkkel.",3
"Az Előfizető és a Szolgáltató a szolgáltatási jogviszonyból és az Előfizetői Szerződésből eredő szerződéses
kapcsolatuk során kötelesek egymással együttműködni. Ennek érdekében a Szolgáltatás szempontjából jelentős
tényekről, körülményekről, változásokról egymást kötelesek késedelem nélkül tájékoztatni. A Felek kötelesek
egymásnak megadni minden olyan adatot és információt, amelynek közlése a Szolgáltatás szerződésszerű
teljesítéséhez szükséges.",4
4.5. A regisztráció során az adatok kitöltésekor figyelni kell az adatok pontos és valóságnak megfelelő megadására. Kötelezően megadandó adatok esetén a formai ellenőrzés automatikusan megtörténik. Az adatok kitöltése után fontos a megadott adatokat ellenőrizni és jóváhagyni. Ezt követően kerülhet sor a regisztráció elektronikus továbbítására.,4
"A pótmunkák elszámolására a végszámlában kerülhet sor, kivéve, ha a felek ettől eltérően állapodnak meg.  ",4
"9.2. A Szerződés előkészítése, megkötése és teljesítése során a személyes adatok kezelése az Európai Parlament és a Tanács, a természetes személyeknek a személyes adatok kezelése tekintetében történő védelméről és az ilyen adatok szabad áramlásáról, valamint a 95/46/EK irányelv hatályon kívül helyezéséről szóló (EU) 2016/679 Rendelete (a továbbiakban: GDPR), továbbá az információs önrendelkezési jogról és az információszabadságról szóló 2011. évi CXII. törvény (a továbbiakban: Infotv.) rendelkezései alapján történik. A Felek kötelezettséget vállalnak arra, hogy az adatkezelés során a GDPR szerinti adatbiztonsági követelményeknek eleget tesznek, továbbá az érintettek jogainak és jogorvoslati lehetőségeinek legteljesebb figyelembevételével járnak el. Amennyiben Felek a fentiekben foglalt kötelezettségeiket megszegik, a szerződésszegéssel okozott teljes (közvetett és következményi) kárt (függetlenül attól, hogy az az érintett igényén vagy a Nemzeti Adatvédelmi és Információszabadság Hatóság (NAIH) hatósági határozatán és/vagy bírósági határozaton alapul) egymás felé megtéríteni kötelesek.",0
"Bevezető ár: A Webáruházban a könyvújdonságok első megjelenése előtt meghirdetett, és a megjelenésig, a Szolgáltató készletére kerülésig alkalmazott kedvezményes ár. A kedvezmény mértéke legfeljebb 20% (2024. október 1-je után legfeljebb 10%) a könyv várható Eredeti árához képest. A megjelenést és készletre kerülést követően a bevezető ár helyett az online ár lesz érvényes.",3
"A javasolt és felírt gyógyszerek rendelése az érvényes szakmai előírásoknak, protokolloknak, eljárásrendeknek megfelelően történik, a Pácienssel történt előzetes megbeszélés, felvilágosítás és egyeztetés után, figyelembe véve a Páciens eddigi kórelőzményét, alapbetegségeit azok kórlefolyását, a szövődményeket és az előzetesen nem várt, de esetlegesen kialakuló állapotromlást.",3
"3.18.4. A Termék eladása körében - apróhirdetések és Egyedi szállítás esetén is - az Eladónak lehetősége van a Vatera által, Felhasználói részére biztosított Vaterafutár szolgáltatás igénybevételére, amely a Vatera Szállítás igénybevétele hiányában is lehetővé teszi az eladott Termék kiszállítását.",2
"Az Előfizető nem jogosult a Szolgáltatást hálózati szolgáltatás nyújtására használni. A hálózati
szolgáltatás Előfizető általi nyújtása nem felel meg a rendeltetésszerű joggyakorlás követelményének,
mert a Szolgáltatást a Szolgáltató annak az Előfizető általi személyes igénybevétele céljából nyújtja, a
Szolgáltatás rendeltetése annak az Előfizetők általi személyes igénybevehetősége.",2
"5.6. A szállítást megelőzően a futárszolgálat e-mail és/vagy sms útján értesítést küld a Felhasználónak a kézbesítés várható időpontjáról, illetve a Felhasználó által megadott telefonszámon adategyeztetés céljából is megkeresheti. A Szolgáltató e-mail útján tájékoztatja a Felhasználót a csomag futárnak történő átadásáról.",4
7.1 A Ügyfél az „Adatlap” elnevezésű nyomtatványon adja meg a szolgáltatás használatára felhatalmazott természetes személy Felhasználókat és hozzáférési joguk terjedelmét.,3
"Amennyiben a páciens távkonzultációt nem a helyszínen egyenlíti ki, akkor van lehetőség átutalással is teljesíteni a számlát. Ehhez meg kell adnia a nevét, címét, hogy az átutalásos számlát ki lehessen állítani a nevére. Minden esetben előre ki kell fizetni a kért szolgáltatás díját, az utalás beérkezése után lehet megtartani a konzultációt.",4
"21. (1) A Kártyafedezeti Tükörszámla feltöltése kizárólag keret-átvezetéssel történhet - melyet erre irányuló megbízással a Szerződő fél kezdeményezhet a Kincstári számlavezető helynél - , vagy elektronikus megbízás benyújtásával.",2
"4.1. A webáruházban megjelenített termékek kizárólag online elektronikus úton a webáruházból rendelhetőek meg. A termékekre vonatkozóan megjelenített árak forintban értendők, tartalmazzák a törvényben előírt általános forgalmi adót, azonban nem tartalmazzák a Felhasználó által megadott szállítási címre történő szállítás költségét.",4
"Ha a küldemény elveszésének vagy megsemmisülésének ténye panaszkezelés keretében jut a Szolgáltató tudomására, és a panaszra adott – az elveszés vagy a megsemmisülés tényét megállapító – szolgáltatói (DPD) válasz megérkezésekor a fenti 6 (hat) hónapos igényérvényesítési határidőből harminc napnál már kevesebb van hátra, a határidő a válasz megérkezését követő harminc napig meghosszabbodik. ",1
"A Mobilalkalmazás szellemi tulajdonjoga (a továbbiakban ” Szellemi Tulajdon ”) a Bellozzo Kft.-t, továbbá a Mobilalkalmazást fejlesztő társaságot illeti meg. A Szellemi Tulajdonnak tilos bárminemű megsértése, bitorlása, másolása, átdolgozása és tilos azt bármilyen egyéb módon megsérteni, azt jogosulatlanul felhasználni, továbbadni, megterhelni, azzal bármilyen módon rendelkezni, visszaélni. A Mobilalkalmazást a felhasználók kizárólag a Szellemi Tulajdon tiszteletben tartásával jogosultak használni. A Bellozzo Kft. a Szellemi Tulajdonhoz fűződő szabályok, jogok megsértése esetén a felhasználót azonnali hatállyal eltiltja a Mobilalkalmazás használatától. A jogsértés további polgári és büntetőjogi lépéseket vonhat maga után.",2
Az egyes Előfizetői szolgáltatásokra a vonatkozó mellékletek értelemszerűen vonatkoznak.,3
"1. Az OTP Bank Nyrt. jogosult meggyőződni az Ügyfél, illetőleg képviselője személyazonosságáról. E célból kérheti, hogy az Ügyfél vagy képviselője személyazonosságát hitelt érdemlően igazolja.",3
"Szerzői jogok - A szerzői jogról szóló 1999. évi LXXVI. törvény (továbbiakban: Szjt.) 1. § (1) bekezdése értelmében a weboldal szerzői műnek minősül, így annak minden része szerzői jogi védelem alatt áll. . 16. § (1) bekezdése alapján tilos a weboldalon található grafikai és szoftveres megoldások, számítógépi programalkotások engedély nélküli felhasználása, illetve bármely olyan alkalmazás használata, amellyel a weboldal, vagy annak bármely része módosítható. A weboldalról és annak adatbázisából bármilyen anyagot átvenni a jogtulajdonos írásos hozzájárulása esetén is csak a  weboldalra való hivatkozással, forrás feltüntetésével lehet. A jogtulajdonos:  E.V.",1
"3.2 A hőátalakítással megvalósuló távhőenergia szolgáltatás az ellátás célja szerint lehet a TKSZ (a) 2.1.2.1. pontja szerinti fűtési célú (b) 2.1.2.2. pontja szerinti használati melegvíz szolgáltatási célú (vízfelmelegítés, vagy melegvíz szolgáltatás) távhőenergia szolgáltatás.",3
"Ajánlattétel: A „Megrendelés véglegesítése” gomb megnyomásával a Felhasználó ajánlatot tesz, mellyel fizetési kötelezettsége keletkezik, s melyre a megrendeléstől számított 48 órán belül e-mailben automatikusan visszaigazolást küldünk. A visszaigazolás minden esetben tartalmazza a rendelés azonosítóját, a választott átvételi és fizetési módot, a rendelés értékét, a szállítási feltételeket, termékmegnevezést és darabszámot, valamint a Felhasználó szállítási (név, cím, telefonszám) és számlázási (név, cím, ha van, törzsvásárlói kártyaszám) adatait. Amennyiben a visszaigazolás – mely tartalmazza a megrendelés feltételeit – nem érkezik meg, a fogyasztó mentesül az ajánlati kötöttség alól.",3
"Ön az Eladó hibás teljesítése esetén az Eladóval szemben kellékszavatossági igényt érvényesíthet a , valamint fogyasztói szerződés esetén a 373/2021 (VI.30.) Korm. rendelet szabályai szerint.",4
A kellékszavatossági igények sajátos szabályai digitális tartalom szolgáltatása esetén,4
"10.6.  Jelen általános szerződési feltételekben nem szabályozott kérdésekben a Polgári
Törvénykönyv, valamint a szerződés tárgya szerint vonatkozó szabványok és ipari,
ill. helyi szokványok az irányadóak.",1
"c) letelepedési vagy bevándorlási engedéllyel rendelkezik,",4
"87. A teljesítés időpontja az az időpont, amikor a Fogyasztó a terméket vagy szolgáltatást átveszi (az a birtokába kerül) vagy a digitális tartalom számára hozzáférhetővé válik (pl. megkapja a letöltéshez szükséges kódot) az Alzától vagy annak szerződött partnerétől (pl. posta/futárcég/csomagautomata/külső szolgáltató stb.).",3
"4.11. A Felhasználó e-mail-ben a megrendelés elküldését követően visszaigazolást kap. Amennyiben e visszaigazolás Felhasználó megrendelésének elküldésétől számított, a szolgáltatás jellegétől függő elvárható határidőn belül, de legkésőbb 48 órán belül a Felhasználóhoz nem érkezik meg, a Felhasználó az ajánlati kötöttség vagy szerződéses kötelezettség alól mentesül. A megrendelés és annak visszaigazolása akkor tekintendő a Szolgáltatóhoz, illetve a Felhasználóhoz megérkezettnek, amikor az számára hozzáférhetővé válik. A Szolgáltató kizárja a visszaigazolási felelősségét, ha a visszaigazolás azért nem érkezik meg időben, mert a Felhasználó rossz e-mail címet adott meg regisztrációja során, vagy a fiókjához tartozó tárhely telítettsége miatt nem tud üzenetet fogadni. Ez azt jelenti, hogy a rendelés feladását követően a vevő kap egy automatikus e-mailt a rendelés beérkezéséről és (később) egyet a várható szállítási időpontról. Ha ezzel kapcsolatban telefonos egyeztetés szükséges, az ügyfélszolgálat a +36 30 6352623-as telefonszámon érhető el. Az ügyfélszolgálat normál tarifával hívható.",2
"Amennyiben az Eladó, a Vevő teljesítése ellenére a Terméket/szolgáltatást nem adja át/nem nyújtja a Vevő részére, és ezt a Vevő a Vatera Ügyfélszolgálatán jelzi, vagy erről a Vatera egyéb módon (pl. vevői értékelések) tudomást szerez, a Vatera jogosult az Eladó hozzáférését a Vatera szolgáltatásai használatához részlegesen (pl. licitálások törlése, hirdetések törlése, stb.), vagy teljes egészében felfüggeszteni, illetve a Szolgáltatás nyújtását megtagadni addig, ameddig a tranzakciót (pl. az adásvételt) a Vevő sikeresnek, vagy teljesítettnek nem igazolja vissza.",4
"5.2.3.1. Extra szolgáltatás (eXtra): Az eXtra a hirdetés kiemelések és a többletszolgáltatások igénybevételéhez nélkülözhetetlen adminisztrációs rendszer, mely a járműhirdetési alapszolgáltatás elválaszthatatlan része. Az eXtra igénybevételének alapvető feltétele a Felhasználó hirdetőnek az Üzemeltetővel hatályban lévő járműhirdetési szerződése. Felhasználó hirdető a járműhirdetési szerződés megkötésével lesz jogosult az eXtra igénybevételére. Az eXtra használatára az Üzemeltető által biztosított internetes adminisztrátor felületen keresztül van lehetőség. A járműhirdetési szerződés megszűnése, korlátozása automatikusan az eXtra megszűnését, korlátozását eredményezi.",2
"3.17 A Bank minden elvárhatót megtesz annak érdekében, hogy az Ügyfél adatai – elektronikus úton történő adattovábbítás esetén - illetéktelen személyek részére ne lehessenek hozzáférhetőek. Az Ügyfél tudomásul veszi, hogy amennyiben valamely adat a Bank elvárható gondossága ellenére harmadik személy részére hozzáférhetővé válik, az ebből eredő kárért a Bankkal szemben igényt nem támaszt.",3
"Teljesárú menetjegy megvásárlásával megkötött személyszállítási szerződést a Szolgáltató az utas kérésére – ha a menetjegyet még nem használták utazásra – a menetjegy érvényességének lejártáig, illetve a meghatározott naptári napra és járatra kiadott menetjegy esetében a járat elindulása előtt a menetjegy érvényessége, az utazás célállomása vagy az útiránya tekintetében kezelési költség befizetésével módosítja. Kedvezményes árú menetjegy vagy más utazási igazolvány megváltásával létrejött személyszállítási szerződés csak akkor módosítható, ha az utazási kedvezmény, illetve a más utazási igazolvány igénybevétele, használata, az utazás időszaka, időpontja, utazási viszonylata vagy az utazások száma nem korlátozott. A lehetséges módosítások részleteit az Üzletszabályzat „IV. Jegyek és bérletek árusítása, menetjegy és bérlet árának visszatérítése” fejezet 7-9. pontjai tartalmazzák.",2
"Panasz: az Előfizetői szerződés alapján igénybevett elektronikus hírközlési szolgáltatás nyújtásával összefüggésben az Előfizető által tett olyan bejelentés, amely az Előfizetőt érintő egyéni jogsérelem vagy érdeksérelem megszüntetésére irányul és nem minősül Hibabejelentésnek, beleértve a Díjreklamációt is.",3
"A vásárlás megerősítésével Ön elismeri, hogy Ön felelős a rendelés teljes költségének megfizetéséért, beleértve a vámokat, adókat és a szállítási költségeket, ha szükséges. Eltérő rendelkezés hiányában az Európai Unióban a weboldalunkon euróban (€) vagy más helyi pénznemben feltüntetett árak tartalmazzák az alkalmazandó áfát és minden egyéb adót az alkalmazandó mértékben (kivéve a vámokat, amelyekre az alábbi külön rendelkezések vonatkoznak). A megvásárolt termékektől és a kiválasztott szállítási módoktól függően szállítási költségek merülhetnek fel, amelyeket a rendelés megerősítése előtt egyértelműen feltüntetünk a Ön számára.",3
f) az Előfizető/Igénylő személyazonosság igazolására alkalmas hatósági igazolványának típusa és száma;,2
"A gépek közötti (M2M) szolgáltatások nyújtására használt átviteli szolgáltatás (M2M szolgáltatás) olyan adatátviteli
előfizetői szolgáltatás, ahol a gépek közötti szolgáltatás az adatok és információk automatikus továbbítását foglalja
magában eszközök vagy szoftveralapú alkalmazások között, korlátozott emberi beavatkozással vagy anélkül. A
szolgáltatás vezeték nélküli, távolról történő adattovábbítás segítségével távoli méréseket és vezérlést tesz
lehetővé, kizárólag gépek, berendezések, eszközök és szenzorok között. Ide tartozik az elsődlegesen gépek közötti
adatátvitel megvalósítása érdekében történő elektronikus hírközlési szolgáltatás nyújtás, illetve a Szolgáltató által
megvalósított gépek közötti adatátvitelen alapuló komplex üzleti megoldások nyújtása, illetve üzemeltetése.
Az M2M szolgáltatás az Előfizető és Szolgáltató között létrejött Előfizetői Szerződés keretében vehető igénybe,
mely keretében az átviteli szolgáltatás Zárt Access Point Name (APN) vagy Nyílt Access Point Name (APN)
segítségével valósul meg.",1
"d. IP-cím tiltása: Amennyiben technikai visszaélés történik (pl. automatizált program használata, túlzott lekérdezések, adatbányászat), a Fogyasztó hozzáférése technikailag is korlátozható. ",3
3.2.3.2. A Bank az igényléskor a Számlatulajdonos rendelkezésére bocsátja az E-csatorna azonosítóját és átadja részére adatszolgáltatás igénybevételét ismertető Használati útmutatót.,2
"3.18 Az Ügyfél haladéktalanul köteles bejelenteni a Banknak, ha azt észleli, hogy a számlakivonaton jogosulatlan műveletet tűntettek fel. A reklamáció a Bankkal szembeni kötelezettségekre nem jelent halasztási lehetőséget. A bejelentést az Ügyfél írásban, a Bank bármely fiókjában megteheti.",2
"Az Ügyfél kötelessége, hogy az esetlegesen többször használt csomagolásról az összes korábbi csomagcímkét, matricát és más információt eltávolítsa, vagy azokat bármi egyéb módon olvashatatlanná tegye. Ennek elmulasztásából adódó minden hibáért, téves és/vagy késői kézbesítésért az Ügyfél viseli a felelősséget. ",4
"31.5. nem rendelkezik korábban kötött és fennálló DH1 Hitelszerződéssel,",4
"Ilyen hibás ár feltüntetése esetén Eladó felajánlja az Áru valós áron történő megvásárlásának lehetőségét, mely információ birtokában a Vevő eldöntheti, hogy megrendeli valós áron az Árut vagy nem él ezzel a lehetőséggel, amely esetben a Felek között nem jön létre szerződés.",4
"A Szolgáltató az Adatkezelési Tájékoztatóját (Adatvédelmi Szabályzatot) valamint az egészségügyi adatok kezelésére vonatkozó tájékoztatót a www.sportorvosikozpont.hu weboldalon közzéteszi. A Szolgáltató a Páciens előzetes hozzájárulásán alapuló adatkezelést minden esetben a hatályos jogszabályokban foglaltak maradéktalan betartásával, így különösen az információs önrendelkezési jogról és az információszabadságról szóló 2011. évi CXII. törvényben (Info. tv.) valamint a 1997. évi XLVII. törvény az egészségügyi és a hozzájuk kapcsolódó személyes adatok kezeléséről és védelméről szóló törvényben foglaltaknak megfelelően végzi.",0
"Egyedi Szállítás esetén a szállítás lebonyolításában, a vételár, szállítási- vagy egyéb díjak megfizetésében a Vatera nem működik közre, online bankkártyás fizetésre nincs lehetőség. A vételár, szállítási-, vagy egyéb díjak megfizetését az Eladó és a Vevő közvetlenül intézi egymás között, e tekintetben a hirdetésben foglaltak, illetve az Eladó és a Vevő megállapodása irányadó.",4
